"Ano","Regiao","Sub_Regiao","Pais","Mes","GeoCodUnidMaior","UnidMaior","GeoCodUnidMenor","UnidMenor","Especie","Categoria","TotalCasos","TotalNaoConfirmados","CASO_VARIANTE","CASO_FILOGEN","CASO_CERTIFICACAO","CASO_DATA_CERTIFIC","CASO_LAB","matchcode"
2004,"América Latina","México","Mexico",7,"MEX-PUE","Puebla","...","Sin Informacion","Perros","Perros",1,"0","NULL","NULL","P","2004-12-07 09:06:09.130","1",NA
2004,"América Latina","México","Mexico",3,"MEX-CHP","Chiapas","...","Sin Informacion","Perros","Perros",1,"0","NULL","NULL","P","2004-12-07 09:56:32.313","1",NA
2004,"América Latina","México","Mexico",3,"MEX-PUE","Puebla","...","Sin Informacion","Perros","Perros",1,"0","NULL","NULL","P","2004-12-07 09:56:32.313","1",NA
2004,"América Latina","México","Mexico",11,"MEX-MEX","Mexico","...","Sin Informacion","Perros","Perros",1,"0","NULL","NULL","P","2005-02-22 15:32:11.293","1",NA
2004,"América Latina","México","Mexico",11,"MEX-PUE","Puebla","...","Sin Informacion","Perros","Perros",1,"0","NULL","NULL","P","2005-02-22 15:32:27.980","1",NA
2004,"América Latina","México","Mexico",12,"MEX-MEX","Mexico","...","Sin Informacion","Perros","Perros",1,"0","NULL","NULL","P","2005-02-22 15:32:40.293","1",NA
2004,"América Latina","México","Mexico",12,"MEX-MEX","Mexico","...","Sin Informacion","Perros","Perros",1,"0","NULL","NULL","P","2005-02-22 15:32:57.513","1",NA
2004,"América Latina","México","Mexico",12,"MEX-TBS","Tabasco","...","Sin Informacion","Perros","Perros",1,"0","NULL","NULL","P","2005-02-22 15:32:57.513","1",NA
2004,"América Latina","México","Mexico",12,"MEX-MEX","Mexico","...","Sin Informacion","Perros","Perros",1,"0","NULL","NULL","P","2005-02-22 15:33:45.653","1",NA
2005,"América Latina","México","Mexico",1,"MEX-MEX","Mexico","...","Sin Informacion","Perros","Perros",1,"0","NULL","NULL","P","2005-02-22 15:57:12.270","1",NA
2005,"América Latina","México","Mexico",1,"MEX-MEX","Mexico","...","Sin Informacion","Perros","Perros",3,"0","NULL","NULL","P","2005-02-22 15:57:35.443","3",NA
2005,"América Latina","México","Mexico",1,"MEX-MEX","Mexico","...","Sin Informacion","Perros","Perros",3,"0","NULL","NULL","P","2005-03-01 14:47:35.430","3",NA
2003,"América Latina","México","Mexico",0,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",18,"NULL","NULL","NULL","P","2005-03-31 14:25:08.870","NULL",NA
2001,"América Latina","México","Mexico",0,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",14,"0","NULL","NULL","P","2005-03-31 17:47:18.357","14",NA
1987,"América Latina","México","Mexico",0,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",13262,"0","NULL","NULL","P","2005-04-18 14:07:39.190","13262",NA
1988,"América Latina","México","Mexico",0,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",12393,"0","NULL","NULL","P","2005-04-18 14:08:08.877","12393",NA
2005,"América Latina","México","Mexico",2,"MEX-MEX","Mexico","...","Sin Informacion","Perros","Perros",2,"0","NULL","NULL","P","2005-05-03 11:06:24.327","2",NA
2005,"América Latina","México","Mexico",2,"MEX-SON","Sonora","...","Sin Informacion","Perros","Perros",1,"0","NULL","NULL","P","2005-05-03 11:06:24.327","1",NA
2005,"América Latina","México","Mexico",2,"MEX-MEX","Mexico","...","Sin Informacion","Perros","Perros",2,"0","NULL","NULL","P","2005-05-03 11:06:33.950","2",NA
2005,"América Latina","México","Mexico",2,"MEX-MEX","Mexico","...","Sin Informacion","Perros","Perros",2,"0","NULL","NULL","P","2005-05-03 11:06:50.450","2",NA
2005,"América Latina","México","Mexico",2,"MEX-PUE","Puebla","...","Sin Informacion","Perros","Perros",2,"0","NULL","NULL","P","2005-05-04 11:44:26.640","2",NA
2005,"América Latina","México","Mexico",2,"MEX-PUE","Puebla","...","Sin Informacion","Perros","Perros",1,"0","NULL","NULL","P","2005-05-04 11:44:50.953","1",NA
